Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1961","1961","3050","FAO TIER 1","kilotonnes","6876.7867","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1962","1962","3050","FAO TIER 1","kilotonnes","6980.14","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1963","1963","3050","FAO TIER 1","kilotonnes","7136.368","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1964","1964","3050","FAO TIER 1","kilotonnes","7251.5884","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1965","1965","3050","FAO TIER 1","kilotonnes","7253.3471","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1966","1966","3050","FAO TIER 1","kilotonnes","7171.6855","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1967","1967","3050","FAO TIER 1","kilotonnes","7125.091","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1968","1968","3050","FAO TIER 1","kilotonnes","7105.9045","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1969","1969","3050","FAO TIER 1","kilotonnes","7100.0029","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1970","1970","3050","FAO TIER 1","kilotonnes","7192.3385","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1971","1971","3050","FAO TIER 1","kilotonnes","7312.4556","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1972","1972","3050","FAO TIER 1","kilotonnes","7458.4141","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1973","1973","3050","FAO TIER 1","kilotonnes","7619.411","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1974","1974","3050","FAO TIER 1","kilotonnes","7928.455","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1975","1975","3050","FAO TIER 1","kilotonnes","8122.9585","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1976","1976","3050","FAO TIER 1","kilotonnes","7882.7585","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1977","1977","3050","FAO TIER 1","kilotonnes","7606.8268","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1978","1978","3050","FAO TIER 1","kilotonnes","7258.6759","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1979","1979","3050","FAO TIER 1","kilotonnes","6967.0824","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1980","1980","3050","FAO TIER 1","kilotonnes","7006.024","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1981","1981","3050","FAO TIER 1","kilotonnes","7176.1704","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1982","1982","3050","FAO TIER 1","kilotonnes","7234.838","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1983","1983","3050","FAO TIER 1","kilotonnes","7202.4314","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1984","1984","3050","FAO TIER 1","kilotonnes","7094.632","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1985","1985","3050","FAO TIER 1","kilotonnes","6899.2465","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1986","1986","3050","FAO TIER 1","kilotonnes","6654.728","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1987","1987","3050","FAO TIER 1","kilotonnes","6446.555","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1988","1988","3050","FAO TIER 1","kilotonnes","6316.81","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1989","1989","3050","FAO TIER 1","kilotonnes","6151.979","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1990","1990","3050","FAO TIER 1","kilotonnes","6100.821","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1991","1991","3050","FAO TIER 1","kilotonnes","6123.3945","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1992","1992","3050","FAO TIER 1","kilotonnes","6173.715","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1993","1993","3050","FAO TIER 1","kilotonnes","6246.3551","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1994","1994","3050","FAO TIER 1","kilotonnes","6334.5251","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1995","1995","3050","FAO TIER 1","kilotonnes","6419.1683","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1996","1996","3050","FAO TIER 1","kilotonnes","6445.8603","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1997","1997","3050","FAO TIER 1","kilotonnes","6339.6906","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1998","1998","3050","FAO TIER 1","kilotonnes","6230.7283","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","1999","1999","3050","FAO TIER 1","kilotonnes","6191.403","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2000","2000","3050","FAO TIER 1","kilotonnes","6146.0135","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2001","2001","3050","FAO TIER 1","kilotonnes","6096.5949","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2002","2002","3050","FAO TIER 1","kilotonnes","6075.5116","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2003","2003","3050","FAO TIER 1","kilotonnes","6055.0728","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2004","2004","3050","FAO TIER 1","kilotonnes","6001.7445","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2005","2005","3050","FAO TIER 1","kilotonnes","6035.2215","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2006","2006","3050","FAO TIER 1","kilotonnes","6138.1731","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2007","2007","3050","FAO TIER 1","kilotonnes","6137.0377","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2008","2008","3050","FAO TIER 1","kilotonnes","6125.3537","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2009","2009","3050","FAO TIER 1","kilotonnes","6045.9348","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2010","2010","3050","FAO TIER 1","kilotonnes","6008.5861","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2011","2011","3050","FAO TIER 1","kilotonnes","5954.5384","Fc","Calculated data",""
"GT","Emissions Totals","231","United States of America","7225","Emissions (CH4)","5058","Enteric Fermentation","2012","2012","3050","FAO TIER 1","kilotonnes","5865.1366","Fc","Calculated data",""
